User1,User2,Date_followed,Interactions,Interest_level
User_101,User_3383,2021-02-15 18:36:17,30,2
User_102,User_1904,2023-03-22 02:02:30,22,8
User_103,User_3868,2020-11-10 11:12:08,18,6
User_104,User_1831,2020-05-22 04:41:06,47,3
User_105,User_4623,2020-07-21 10:23:49,42,1
User_106,User_2371,2020-02-16 07:41:56,84,1
User_107,User_2598,2023-02-10 02:21:41,3,10
User_108,User_3469,2021-06-10 10:25:19,80,1
User_109,User_4751,2020-09-04 19:12:36,78,1
User_110,User_3711,2022-08-09 01:31:44,51,8
User_111,User_2320,2020-12-01 09:54:25,68,10
User_112,User_3628,2023-09-23 22:12:24,83,6
User_113,User_1091,2022-04-12 20:43:30,78,10
User_114,User_544,2023-05-28 13:24:05,94,1
User_115,User_873,2020-09-19 05:30:54,23,8
User_116,User_4,2021-08-18 10:48:37,77,4
User_117,User_2550,2021-04-11 08:19:53,23,5
User_118,User_173,2023-06-10 05:22:00,25,7
User_119,User_3641,2023-05-31 12:42:52,63,8
User_120,User_4127,2024-03-02 09:21:12,88,3
User_121,User_3155,2020-12-10 15:23:35,98,8
User_122,User_3425,2023-02-27 15:04:00,11,3
User_123,User_3862,2022-08-11 02:35:49,10,6
User_124,User_4396,2021-04-08 00:58:54,73,10
User_125,User_450,2020-01-11 08:22:11,28,4
User_126,User_1686,2024-04-03 13:17:35,51,6
User_127,User_2051,2023-03-27 08:11:35,42,7
User_128,User_4563,2021-03-28 19:25:27,90,4
User_129,User_2030,2022-04-12 08:34:21,76,9
User_130,User_1280,2021-10-18 03:14:40,22,7
User_131,User_4408,2020-12-03 23:54:50,20,10
User_132,User_823,2020-06-19 14:10:34,69,8
User_133,User_3383,2024-01-23 11:06:38,26,9
User_134,User_4396,2022-11-24 03:22:13,71,6
User_135,User_858,2020-03-31 15:24:10,76,1
User_136,User_1704,2023-09-25 09:34:53,25,9
User_137,User_146,2024-02-29 09:03:59,91,4
User_138,User_3619,2022-04-10 18:47:52,62,7
User_139,User_4982,2020-12-18 17:29:13,26,4
User_140,User_1829,2023-09-18 01:21:44,78,2
User_141,User_1666,2020-09-30 20:50:07,27,3
User_142,User_14,2023-02-20 02:36:11,58,2
User_143,User_1558,2020-07-10 20:50:29,19,1
User_144,User_1141,2022-10-29 09:35:19,53,5
User_145,User_2251,2020-07-22 14:19:37,42,9
User_146,User_3519,2022-04-22 06:40:51,34,3
User_147,User_671,2022-05-05 06:06:49,90,3
User_148,User_2915,2024-04-08 02:11:35,40,5
User_149,User_3988,2020-04-13 09:33:15,40,7
User_150,User_2648,2022-11-09 07:03:28,33,7
User_151,User_3044,2020-08-03 03:36:10,65,10
User_152,User_2614,2021-04-09 02:54:02,95,1
User_153,User_1998,2024-02-03 23:21:23,72,7
User_154,User_1503,2021-04-09 21:19:38,19,5
User_155,User_3478,2024-02-25 00:38:16,91,3
User_156,User_348,2020-08-04 12:05:28,90,9
User_157,User_3949,2021-06-04 11:13:34,20,5
User_158,User_4688,2024-03-13 03:18:55,58,5
User_159,User_1209,2022-09-25 04:10:51,43,6
User_160,User_1681,2020-08-09 20:01:06,29,6
User_161,User_4697,2023-01-28 06:18:47,5,5
User_162,User_1749,2022-04-30 00:23:31,71,2
User_163,User_2034,2022-02-01 19:45:43,30,8
User_164,User_3695,2022-06-11 04:31:39,47,1
User_165,User_701,2021-04-09 02:24:44,4,7
User_166,User_3997,2021-11-18 21:33:04,27,4
User_167,User_4272,2020-05-21 02:47:44,36,5
User_168,User_1645,2022-11-27 17:38:13,44,9
User_169,User_4538,2023-10-21 14:37:22,15,5
User_170,User_344,2022-04-29 15:56:36,94,3
User_171,User_1334,2022-02-11 11:20:57,84,6
User_172,User_802,2021-10-26 09:32:46,41,2
User_173,User_2395,2021-09-21 08:46:09,98,7
User_174,User_3159,2021-05-28 03:08:51,95,9
User_175,User_538,2023-09-24 05:20:06,33,9
User_176,User_3155,2023-07-06 03:04:22,90,10
User_177,User_2412,2022-09-02 03:56:05,32,5
User_178,User_2113,2021-01-19 23:48:06,51,4
User_179,User_2732,2023-02-11 05:43:02,21,5
User_180,User_1306,2024-02-02 00:10:22,27,5
User_181,User_4767,2022-01-09 23:19:48,42,9
User_182,User_665,2023-04-28 00:42:17,70,6
User_183,User_4538,2020-12-05 09:24:17,37,1
User_184,User_4531,2022-04-02 07:19:09,42,2
User_185,User_537,2024-02-29 15:27:19,87,7
User_186,User_3976,2022-04-25 11:56:29,28,9
User_187,User_2490,2023-06-22 19:19:05,48,10
User_188,User_4555,2023-05-05 16:04:35,34,9
User_189,User_2083,2022-03-18 01:26:25,65,4
User_190,User_3944,2020-04-07 11:44:26,88,5
User_191,User_2635,2021-11-24 11:49:09,75,8
User_192,User_3687,2022-02-02 05:44:11,55,1
User_193,User_2495,2022-05-15 00:41:03,63,5
User_194,User_4592,2020-02-06 18:39:27,1,1
User_195,User_3167,2023-11-11 15:13:57,67,9
User_196,User_1128,2022-06-14 17:33:01,50,4
User_197,User_2497,2023-12-25 14:33:14,42,3
User_198,User_143,2021-11-07 18:47:02,94,3
User_199,User_1211,2023-03-03 00:43:38,89,3
User_200,User_3705,2023-01-24 21:48:35,34,10
User_201,User_3372,2023-12-14 21:00:53,76,10
User_202,User_3400,2024-01-10 10:10:08,12,4
User_203,User_2957,2022-01-28 06:03:55,11,6
User_204,User_3356,2022-04-06 19:37:16,11,7
User_205,User_664,2020-05-20 06:08:28,80,9
User_206,User_1594,2022-12-21 14:43:22,86,9
User_207,User_2518,2022-04-21 11:06:08,2,10
User_208,User_3860,2021-03-15 15:23:29,96,7
User_209,User_1227,2024-03-18 17:17:25,57,2
User_210,User_4141,2024-03-21 02:10:53,56,1
User_211,User_3434,2024-04-08 20:20:57,12,1
User_212,User_4129,2023-11-14 01:27:10,49,10
User_213,User_4749,2020-06-06 01:22:48,42,4
User_214,User_198,2023-06-06 00:15:58,6,7
User_215,User_1745,2020-06-24 12:04:21,31,8
User_216,User_4605,2020-05-27 16:16:06,17,8
User_217,User_3957,2023-03-04 09:02:57,82,4
User_218,User_202,2024-04-04 06:34:06,50,5
User_219,User_1982,2024-02-04 14:01:35,52,7
User_220,User_2055,2022-03-08 15:36:31,64,2
User_221,User_3632,2023-06-09 10:11:15,30,3
User_222,User_3454,2021-04-09 18:36:05,72,1
User_223,User_3228,2022-02-26 01:06:41,93,7
User_224,User_1647,2022-10-08 05:42:22,47,5
User_225,User_1560,2023-10-24 16:10:16,87,2
User_226,User_2871,2020-08-26 19:42:41,12,10
User_227,User_3469,2020-04-27 11:10:04,92,9
User_228,User_1014,2021-05-20 12:41:10,7,2
User_229,User_2570,2022-04-24 04:25:16,32,2
User_230,User_3844,2020-03-13 17:28:12,82,8
User_231,User_2342,2022-01-12 02:40:43,25,5
User_232,User_508,2021-09-25 12:30:19,25,3
User_233,User_3259,2023-04-24 01:28:22,69,2
User_234,User_1917,2020-03-03 14:38:02,21,2
User_235,User_3668,2020-04-28 11:01:52,51,8
User_236,User_4342,2020-07-22 05:50:14,22,8
User_237,User_819,2021-06-09 08:19:45,56,5
User_238,User_2677,2022-12-17 23:18:59,24,9
User_239,User_1704,2020-06-07 12:39:03,74,8
User_240,User_3934,2023-02-01 14:58:04,21,10
User_241,User_642,2021-07-07 03:48:28,86,10
User_242,User_276,2022-10-13 02:35:57,57,8
User_243,User_2027,2021-01-05 19:10:47,59,9
User_244,User_4878,2022-12-20 18:06:26,26,8
User_245,User_1594,2023-05-09 06:31:01,98,7
User_246,User_2518,2022-09-22 22:42:20,68,1
User_247,User_1995,2020-04-13 09:54:16,63,6
User_248,User_1251,2021-07-14 17:18:22,18,10
User_249,User_2448,2020-05-13 17:03:50,1,8
User_250,User_4005,2022-07-22 01:58:31,44,10
User_251,User_32,2021-08-12 13:24:05,63,4
User_252,User_426,2023-02-14 20:10:50,63,8
User_253,User_419,2022-06-04 20:39:26,6,6
User_254,User_1604,2023-10-18 02:49:01,13,9
User_255,User_3879,2020-01-12 12:56:13,94,5
User_256,User_4522,2022-02-11 15:17:53,53,8
User_257,User_4626,2021-03-24 19:00:54,100,10
User_258,User_2280,2022-07-28 00:06:02,6,6
User_259,User_3019,2023-12-30 11:35:52,90,1
User_260,User_658,2021-12-24 20:28:15,12,3
User_261,User_2856,2020-09-14 03:17:30,19,4
User_262,User_2765,2020-09-19 10:35:24,27,6
User_263,User_4829,2022-08-14 09:57:43,73,3
User_264,User_3506,2023-07-08 19:36:33,60,8
User_265,User_728,2020-06-08 11:29:00,73,1
User_266,User_2312,2022-06-14 22:39:46,71,7
User_267,User_4767,2022-09-14 05:12:22,53,10
User_268,User_1285,2020-06-14 08:43:32,8,2
User_269,User_1503,2023-01-08 21:03:56,52,8
User_270,User_3896,2022-11-25 12:05:32,51,6
User_271,User_3755,2021-08-11 03:24:50,94,1
User_272,User_1087,2024-03-15 03:25:15,69,10
User_273,User_2042,2022-08-17 19:12:59,2,7
User_274,User_2316,2022-08-22 12:05:27,82,5
User_275,User_4519,2023-11-09 11:47:09,57,5
User_276,User_3863,2024-01-24 07:27:03,29,9
User_277,User_3418,2021-12-24 13:28:41,70,9
User_278,User_1088,2021-01-25 05:00:52,60,5
User_279,User_2707,2020-11-23 22:39:33,3,10
User_280,User_2274,2023-07-28 23:50:33,84,10
User_281,User_4951,2021-04-23 23:32:03,28,9
User_282,User_4988,2023-02-05 12:52:17,16,10
User_283,User_12,2022-04-17 05:54:38,31,2
User_284,User_4295,2020-08-31 04:00:49,93,4
User_285,User_324,2021-11-09 19:22:46,57,2
User_286,User_434,2023-04-07 04:29:54,28,7
User_287,User_4035,2023-08-16 22:58:03,67,7
User_288,User_3716,2022-10-31 14:24:29,8,1
User_289,User_2958,2021-07-17 18:32:13,64,1
User_290,User_3685,2021-12-05 12:49:00,19,3
User_291,User_4306,2022-09-03 10:42:05,8,4
User_292,User_2847,2023-05-16 23:51:57,80,7
User_293,User_752,2021-07-16 05:18:21,32,9
User_294,User_4108,2022-10-23 08:45:10,38,2
User_295,User_3631,2020-07-02 15:51:33,51,9
User_296,User_4204,2021-06-21 21:36:02,2,2
User_297,User_3398,2021-05-18 21:54:32,89,6
User_298,User_763,2022-03-01 04:37:24,74,5
User_299,User_2149,2023-10-31 15:33:01,25,2
User_300,User_3980,2022-03-24 22:50:07,86,7
User_301,User_2611,2023-02-21 08:19:50,70,5
User_302,User_4027,2020-10-24 01:55:57,6,4
User_303,User_3710,2020-11-29 10:50:34,75,7
User_304,User_137,2022-11-17 22:24:49,65,5
User_305,User_907,2021-09-15 06:07:02,33,3
User_306,User_3909,2021-07-14 10:27:31,45,10
User_307,User_1287,2021-12-11 09:50:47,82,3
User_308,User_850,2022-06-21 23:06:09,24,2
User_309,User_615,2023-05-03 05:25:20,40,3
User_310,User_2030,2021-03-16 08:43:04,5,9
User_311,User_1095,2020-01-06 02:34:20,63,5
User_312,User_4625,2021-12-05 03:30:42,66,7
User_313,User_1076,2022-10-12 10:18:33,23,8
User_314,User_3876,2023-12-11 05:21:27,47,4
User_315,User_3815,2020-02-04 06:33:46,59,5
User_316,User_4084,2023-11-23 16:03:17,56,2
User_317,User_404,2020-10-22 18:48:31,72,6
User_318,User_195,2022-08-21 22:27:08,57,3
User_319,User_1261,2021-11-01 22:41:33,4,1
User_320,User_1466,2022-11-28 19:25:58,20,2
User_321,User_631,2023-07-23 18:38:25,20,8
User_322,User_1257,2020-08-19 14:49:44,95,3
User_323,User_4016,2023-11-27 12:01:09,70,6
User_324,User_2731,2022-08-22 08:16:28,35,4
User_325,User_4216,2022-06-20 07:55:15,63,3
User_326,User_2967,2022-06-08 19:53:52,25,6
User_327,User_3052,2020-05-11 19:25:37,71,1
User_328,User_1064,2021-01-08 09:08:45,91,4
User_329,User_4283,2023-04-29 03:33:03,34,8
User_330,User_4803,2020-08-02 09:54:20,62,10
User_331,User_2849,2020-11-30 08:24:27,71,6
User_332,User_572,2021-08-29 02:52:23,12,8
User_333,User_4212,2023-07-09 20:18:32,92,5
User_334,User_4294,2021-05-26 01:09:59,34,1
User_335,User_2263,2020-07-12 03:48:18,72,7
User_336,User_1370,2022-10-01 21:15:24,49,2
User_337,User_1945,2021-11-24 02:49:26,87,2
User_338,User_2482,2020-04-29 23:58:49,61,6
User_339,User_1915,2023-05-03 11:28:50,86,4
User_340,User_4000,2022-01-01 15:30:58,53,3
User_341,User_1676,2024-01-15 00:03:01,28,1
User_342,User_2973,2023-06-04 06:50:58,19,8
User_343,User_206,2023-09-06 02:07:37,77,10
User_344,User_174,2023-04-12 07:07:33,64,3
User_345,User_537,2020-06-05 16:14:12,88,7
User_346,User_2282,2021-11-14 14:37:55,28,6
User_347,User_1808,2024-03-16 05:29:36,86,3
User_348,User_2202,2022-11-23 18:42:01,60,9
User_349,User_969,2021-11-04 02:30:30,68,1
User_350,User_1409,2023-04-09 05:06:05,17,2
User_351,User_1072,2020-04-27 06:34:53,57,3
User_352,User_1335,2023-08-08 14:35:01,18,6
User_353,User_3579,2023-07-08 14:29:17,8,5
User_354,User_86,2020-01-14 02:10:29,38,9
User_355,User_1049,2020-08-17 09:01:08,25,6
User_356,User_2154,2023-03-11 08:26:33,8,4
User_357,User_141,2020-11-11 14:12:09,92,3
User_358,User_2368,2020-01-22 11:10:26,14,8
User_359,User_1841,2021-07-01 20:47:35,46,8
User_360,User_1449,2023-11-14 12:20:09,11,2
User_361,User_2652,2021-11-02 15:09:11,88,2
User_362,User_1048,2020-09-02 13:46:56,98,1
User_363,User_2382,2022-01-04 21:04:35,19,7
User_364,User_193,2022-08-07 19:49:02,40,1
User_365,User_8,2022-06-04 15:22:18,80,4
User_366,User_1843,2024-03-06 10:23:02,86,1
User_367,User_3049,2020-01-19 09:58:53,60,5
User_368,User_556,2021-05-01 10:50:49,43,2
User_369,User_584,2022-08-12 22:40:21,38,2
User_370,User_998,2023-09-15 17:10:19,84,4
User_371,User_1296,2020-03-15 23:16:21,72,10
User_372,User_3590,2021-03-21 16:40:55,73,2
User_373,User_4485,2022-08-12 21:45:16,34,2
User_374,User_1979,2023-11-11 15:07:33,93,7
User_375,User_2696,2023-05-08 23:03:16,56,1
User_376,User_4642,2022-03-08 01:12:51,85,3
User_377,User_4239,2024-02-07 03:53:02,11,9
User_378,User_1604,2022-10-18 04:20:10,50,5
User_379,User_4519,2022-03-28 12:26:18,94,1
User_380,User_3283,2021-06-16 15:45:36,82,4
User_381,User_1750,2022-01-09 10:19:24,93,2
User_382,User_3182,2022-07-05 22:09:46,69,7
User_383,User_2711,2021-12-12 18:59:04,17,7
User_384,User_4936,2023-05-17 23:05:54,84,2
User_385,User_4586,2021-10-13 15:21:47,49,8
User_386,User_2414,2020-08-27 20:30:50,63,10
User_387,User_1930,2021-06-25 03:56:22,46,6
User_388,User_3649,2020-11-01 23:37:12,23,6
User_389,User_2023,2022-09-30 23:24:59,17,10
User_390,User_1463,2024-03-07 17:24:51,98,8
User_391,User_3342,2022-11-07 15:32:07,84,2
User_392,User_3494,2021-11-15 20:34:11,15,2
User_393,User_4446,2022-07-09 21:32:24,47,4
User_394,User_1178,2022-04-03 01:02:13,90,1
User_395,User_3193,2020-06-25 13:42:17,6,4
User_396,User_3148,2020-08-09 13:10:08,71,10
User_397,User_1350,2020-12-24 18:42:57,45,5
User_398,User_2451,2023-01-28 15:45:26,55,9
User_399,User_4942,2021-08-30 15:34:17,12,7
User_400,User_3477,2022-02-03 21:14:30,11,9
User_401,User_1873,2021-08-20 23:35:01,89,3
User_402,User_3627,2020-08-27 23:26:09,22,9
User_403,User_1321,2021-05-24 08:18:00,61,5
User_404,User_554,2021-07-19 04:54:52,12,1
User_405,User_3575,2021-12-30 07:33:47,9,5
User_406,User_3061,2023-10-16 20:08:39,9,6
User_407,User_210,2024-04-08 04:12:54,61,5
User_408,User_2696,2023-11-26 06:59:54,73,2
User_409,User_1913,2021-08-22 04:01:21,87,7
User_410,User_1348,2023-06-10 02:30:16,78,5
User_411,User_4166,2021-09-11 11:17:18,3,5
User_412,User_2226,2020-08-24 11:47:32,54,10
User_413,User_342,2023-05-17 06:44:11,35,3
User_414,User_465,2023-06-07 14:35:51,60,6
User_415,User_969,2021-09-22 10:50:54,22,1
User_416,User_4555,2022-03-28 14:30:00,63,4
User_417,User_2209,2021-01-25 02:46:10,56,5
User_418,User_2169,2021-03-14 20:13:45,65,9
User_419,User_4269,2023-04-08 14:01:55,18,7
User_420,User_4980,2020-05-30 04:45:29,10,7
User_421,User_2460,2023-11-19 04:26:29,64,5
User_422,User_2179,2021-06-01 12:11:15,11,1
User_423,User_4641,2022-04-15 22:27:46,36,9
User_424,User_1170,2022-11-27 21:55:54,30,5
User_425,User_3434,2021-05-09 08:00:54,85,6
User_426,User_3304,2023-11-28 11:45:03,7,1
User_427,User_4168,2021-04-01 19:51:20,46,5
User_428,User_4954,2021-03-19 08:52:03,74,1
User_429,User_4292,2024-02-16 11:42:05,90,7
User_430,User_4050,2023-11-11 10:13:55,97,7
User_431,User_1836,2020-12-07 02:39:37,10,1
User_432,User_1207,2023-03-15 08:31:22,84,7
User_433,User_2826,2022-09-25 06:32:06,72,6
User_434,User_1754,2023-11-30 18:19:48,51,9
User_435,User_4093,2022-06-17 19:52:34,20,5
User_436,User_3734,2020-01-27 16:48:46,32,8
User_437,User_1933,2023-05-31 10:26:01,17,1
User_438,User_2543,2023-01-02 19:24:56,12,9
User_439,User_715,2021-01-08 14:49:00,45,5
User_440,User_1500,2021-08-01 09:03:20,5,6
User_441,User_4857,2023-11-23 06:27:04,11,1
User_442,User_2499,2020-02-29 19:19:22,36,5
User_443,User_350,2020-09-17 08:03:51,54,10
User_444,User_2997,2021-07-04 18:27:04,37,2
User_445,User_2150,2023-12-11 11:37:12,71,9
User_446,User_3058,2021-06-16 00:15:11,73,6
User_447,User_153,2022-01-01 08:26:55,16,6
User_448,User_4318,2022-01-13 10:29:00,31,4
User_449,User_4825,2022-07-27 01:57:27,72,8
User_450,User_3028,2024-02-27 01:28:12,6,1
User_451,User_4228,2022-10-02 08:07:56,82,5
User_452,User_395,2022-02-17 21:35:28,92,6
User_453,User_1492,2021-02-25 09:41:01,47,1
User_454,User_2295,2024-01-04 11:33:59,88,3
User_455,User_2094,2022-09-18 02:08:23,86,7
User_456,User_219,2021-03-18 18:27:09,60,2
User_457,User_4508,2022-06-30 00:36:58,82,10
User_458,User_3131,2021-05-19 16:25:30,46,3
User_459,User_3025,2023-01-24 09:51:28,82,6
User_460,User_1393,2022-11-29 18:16:04,32,8
User_461,User_720,2023-04-30 09:35:08,100,3
User_462,User_2301,2024-02-29 05:28:51,70,2
User_463,User_3504,2023-08-14 00:55:27,16,6
User_464,User_1273,2020-10-19 11:05:30,88,6
User_465,User_1596,2023-10-28 20:12:27,55,3
User_466,User_1325,2023-01-24 02:48:35,48,10
User_467,User_1737,2021-11-29 18:37:08,93,6
User_468,User_1013,2022-12-09 08:26:02,2,4
User_469,User_2837,2022-03-27 01:19:48,53,9
User_470,User_3060,2022-07-27 15:41:18,39,10
User_471,User_1223,2021-01-09 15:00:49,87,1
User_472,User_2336,2022-06-06 07:25:55,92,8
User_473,User_4024,2023-01-12 13:35:14,24,3
User_474,User_2694,2024-03-27 13:47:06,54,3
User_475,User_1622,2023-08-15 04:41:55,6,10
User_476,User_3894,2022-01-01 07:12:29,63,7
User_477,User_133,2022-09-19 14:52:05,22,8
User_478,User_1425,2020-08-24 23:27:31,93,1
User_479,User_3588,2022-11-03 18:33:08,24,5
User_480,User_3882,2023-11-24 09:34:05,66,2
User_481,User_179,2020-10-13 05:42:13,75,9
User_482,User_4578,2021-03-31 07:59:02,75,9
User_483,User_1386,2023-07-26 05:44:12,40,7
User_484,User_4968,2020-01-04 12:53:35,92,6
User_485,User_456,2022-05-02 17:33:13,98,10
User_486,User_1648,2023-11-26 06:41:40,19,1
User_487,User_3438,2022-06-20 18:33:28,49,9
User_488,User_2896,2022-10-22 03:32:28,27,10
User_489,User_4588,2022-09-28 20:39:27,71,9
User_490,User_1149,2023-06-06 17:49:27,19,1
User_491,User_2423,2022-09-17 03:51:21,39,3
User_492,User_2614,2023-07-12 10:58:34,9,1
User_493,User_1841,2021-10-27 06:12:10,62,8
User_494,User_2079,2020-08-20 05:56:16,94,6
User_495,User_3006,2023-04-03 14:16:33,26,4
User_496,User_2810,2023-10-11 01:47:54,58,6
User_497,User_1697,2021-07-06 10:43:31,59,3
User_498,User_601,2021-11-01 19:13:48,65,9
User_499,User_2595,2020-08-02 19:26:46,39,6
User_500,User_1647,2021-01-08 15:59:35,24,3
User_501,User_1866,2021-02-26 05:14:18,4,5
User_502,User_4586,2021-04-27 14:08:12,67,2
User_503,User_2623,2023-06-23 08:07:05,21,9
User_504,User_2780,2022-04-08 14:07:37,26,5
User_505,User_3021,2021-05-12 10:45:58,6,9
User_506,User_46,2022-06-29 08:01:40,53,4
User_507,User_2873,2021-08-14 10:58:43,81,4
User_508,User_1514,2022-06-29 14:55:03,39,3
User_509,User_2014,2023-11-23 14:37:08,8,1
User_510,User_3850,2023-05-19 22:24:06,19,5
User_511,User_567,2024-01-19 08:07:17,81,9
User_512,User_4418,2022-10-14 09:33:30,38,5
User_513,User_4368,2021-06-16 19:10:42,93,7
User_514,User_2714,2023-02-17 23:43:56,72,4
User_515,User_4963,2024-03-22 03:54:15,5,6
User_516,User_2638,2021-05-19 03:15:52,54,9
User_517,User_1178,2022-09-03 13:59:58,10,10
User_518,User_4625,2021-12-24 01:58:07,77,3
User_519,User_2961,2020-06-15 13:58:31,2,10
User_520,User_4116,2020-11-11 15:53:49,53,3
User_521,User_3106,2021-09-18 03:45:12,50,1
User_522,User_3963,2020-12-29 18:15:19,47,10
User_523,User_1740,2023-07-10 07:17:58,9,6
User_524,User_4301,2022-04-02 04:56:06,1,9
User_525,User_3441,2020-05-14 22:07:36,69,1
User_526,User_2977,2021-11-18 05:50:30,6,3
User_527,User_2990,2024-01-10 21:51:07,80,1
User_528,User_3680,2021-09-30 01:31:21,34,1
User_529,User_4570,2020-01-19 19:23:14,44,4
User_530,User_1197,2022-06-30 23:29:48,30,1
User_531,User_4942,2021-06-08 21:31:40,16,7
User_532,User_3698,2021-03-27 09:12:24,70,3
User_533,User_166,2023-07-17 06:53:48,34,5
User_534,User_4419,2023-09-15 18:18:35,19,10
User_535,User_4025,2021-03-31 08:27:21,51,1
User_536,User_571,2020-03-19 22:09:27,22,1
User_537,User_2185,2020-02-28 13:04:10,55,6
User_538,User_2634,2020-05-03 07:37:15,31,1
User_539,User_2543,2021-02-16 12:26:37,74,1
