Username,Conversation_name,Date_sent,Message_type,Read
crystaljones,Conversation_39,2024-04-01 05:54:17,text,True
thomas70,Conversation_39,2020-11-05 22:44:13,text,True
crystaljones,Conversation_39,2020-01-10 05:19:33,attachment,True
shawnreyes,Conversation_40,2020-12-11 01:34:52,text,False
dtodd,Conversation_40,2021-11-20 00:32:56,text,False
shawnreyes,Conversation_40,2023-11-13 07:54:08,image,False
shawnreyes,Conversation_40,2020-11-07 02:03:49,attachment,True
shawnreyes,Conversation_40,2020-05-15 17:33:23,image,True
dtodd,Conversation_40,2022-04-05 15:10:07,text,True
shawnreyes,Conversation_40,2020-12-17 02:46:57,text,True
frankthomas,Conversation_41,2020-05-04 17:00:20,attachment,True
frankthomas,Conversation_41,2022-03-07 12:31:41,image,False
frankthomas,Conversation_41,2020-06-18 10:02:34,attachment,False
chapmanjacqueline,Conversation_42,2023-07-29 15:00:33,image,False
bbaker,Conversation_42,2020-07-02 04:14:08,text,True
felicia93,Conversation_43,2021-10-11 09:43:02,text,False
felicia93,Conversation_43,2020-06-25 04:18:46,image,False
jonathan11,Conversation_44,2021-02-22 00:04:07,attachment,True
clarkbrandi,Conversation_44,2021-11-24 06:38:05,attachment,True
jonathan11,Conversation_44,2020-12-31 16:54:30,image,True
clarkbrandi,Conversation_44,2024-03-11 08:34:54,text,True
jonathan11,Conversation_44,2021-04-02 18:28:12,image,False
clarkbrandi,Conversation_44,2024-02-23 20:11:49,text,True
jonathan11,Conversation_44,2020-11-10 17:55:39,text,False
qhenderson,Conversation_45,2020-02-09 05:45:10,image,False
perezjessica,Conversation_45,2020-03-04 16:30:27,text,False
perezjessica,Conversation_45,2021-04-23 04:52:36,attachment,True
qhenderson,Conversation_45,2021-03-30 00:41:22,text,False
perezjessica,Conversation_45,2023-05-14 10:53:21,attachment,True
qhenderson,Conversation_45,2021-08-01 00:20:00,attachment,True
qhenderson,Conversation_45,2022-04-08 21:13:56,image,True
kwoods,Conversation_46,2020-06-11 10:45:28,image,False
kwoods,Conversation_46,2024-03-18 16:38:05,text,True
kimberlymurray,Conversation_46,2021-12-13 21:00:38,text,True
kwoods,Conversation_46,2023-09-08 16:10:03,image,False
kwoods,Conversation_46,2023-03-26 13:30:08,image,False
kimberlymurray,Conversation_46,2020-08-19 19:19:46,attachment,True
kwoods,Conversation_46,2023-12-22 01:19:41,image,True
jamescharles,Conversation_47,2022-11-17 03:19:00,image,False
jamescharles,Conversation_47,2023-07-18 13:08:58,text,True
hlambert,Conversation_47,2021-08-08 23:07:33,text,True
hlambert,Conversation_47,2022-12-26 16:05:11,text,False
teresajackson,Conversation_48,2021-08-11 03:34:42,attachment,True
aguirremartha,Conversation_48,2022-03-09 02:25:07,text,False
aguirremartha,Conversation_48,2022-02-21 01:55:18,text,True
teresajackson,Conversation_48,2022-10-14 14:32:08,image,False
aguirremartha,Conversation_48,2023-09-22 03:22:57,text,True
teresajackson,Conversation_48,2020-09-26 11:18:43,image,False
aguirremartha,Conversation_48,2023-05-11 10:27:43,attachment,False
melissacastro,Conversation_49,2021-02-02 07:51:43,image,True
lauren31,Conversation_49,2021-02-24 01:17:42,attachment,False
lauren31,Conversation_49,2020-08-14 22:14:01,image,False
lauren31,Conversation_49,2020-10-02 14:32:20,image,False
lauren31,Conversation_49,2024-02-14 17:23:10,text,False
lauren31,Conversation_49,2021-01-25 11:36:37,attachment,True
libarra,Conversation_50,2023-10-04 01:27:24,image,True
marcia56,Conversation_50,2020-01-08 23:28:36,image,True
libarra,Conversation_50,2021-11-22 15:49:48,attachment,True
marcia56,Conversation_50,2022-08-11 01:58:43,attachment,False
marcia56,Conversation_50,2020-08-10 19:57:47,attachment,False
marcia56,Conversation_50,2022-06-18 07:40:05,attachment,True
libarra,Conversation_50,2021-02-13 11:23:19,image,False
kimpatricia,Conversation_51,2022-04-02 04:40:47,attachment,True
kimpatricia,Conversation_51,2023-02-06 21:57:30,text,True
robert19,Conversation_51,2020-02-29 16:28:15,image,True
robert19,Conversation_51,2021-10-27 03:45:23,attachment,False
robert19,Conversation_51,2022-04-12 17:23:34,attachment,True
kimpatricia,Conversation_51,2021-01-16 16:22:48,image,False
kimpatricia,Conversation_51,2023-10-05 11:36:52,text,False
justinhernandez,Conversation_52,2020-11-23 00:52:12,text,False
justinhernandez,Conversation_52,2022-02-22 18:05:31,text,True
christopherlamb,Conversation_52,2023-12-04 00:50:02,text,True
justinhernandez,Conversation_52,2020-08-28 06:50:18,text,True
christopherlamb,Conversation_52,2020-05-05 11:51:32,image,False
christopherlamb,Conversation_52,2020-09-11 12:51:51,attachment,True
riverarobin,Conversation_53,2024-04-03 20:10:02,attachment,True
debrabaker,Conversation_53,2021-05-15 10:01:56,attachment,True
riverarobin,Conversation_53,2023-09-20 16:22:56,image,False
debrabaker,Conversation_53,2023-09-04 10:29:54,text,False
riverarobin,Conversation_53,2020-04-03 12:40:23,text,True
riverarobin,Conversation_53,2020-09-08 06:53:57,attachment,True
shannonpeck,Conversation_54,2022-02-13 12:52:20,text,False
ebarr,Conversation_54,2021-05-12 05:10:39,image,False
ebarr,Conversation_54,2023-01-15 12:01:37,text,False
ebarr,Conversation_54,2022-09-29 05:41:47,attachment,False
ebarr,Conversation_54,2022-03-07 15:03:54,text,True
ebarr,Conversation_54,2020-05-09 18:36:31,text,False
leejennifer,Conversation_55,2021-10-05 17:31:59,attachment,True
leejennifer,Conversation_55,2023-05-14 12:45:53,text,False
amybarnes,Conversation_56,2022-07-17 09:06:45,attachment,True
stevewatson,Conversation_56,2022-02-05 16:55:47,image,True
amybarnes,Conversation_56,2023-07-28 23:50:20,image,False
amybarnes,Conversation_56,2023-11-29 06:02:25,image,True
stevewatson,Conversation_56,2021-12-06 21:14:31,text,True
stevewatson,Conversation_56,2021-04-19 14:47:49,attachment,False
swhitaker,Conversation_57,2024-02-01 21:23:03,text,False
swhitaker,Conversation_57,2021-10-27 22:10:22,attachment,False
jillianjones,Conversation_57,2021-11-02 23:09:06,image,True
swhitaker,Conversation_57,2020-07-25 23:24:13,text,True
swhitaker,Conversation_57,2020-08-31 11:48:42,text,True
jillianjones,Conversation_57,2020-02-16 01:25:15,attachment,True
swhitaker,Conversation_57,2020-10-02 10:54:29,text,True
jillianjones,Conversation_57,2021-08-29 07:12:37,text,False
erikobrien,Conversation_58,2024-04-02 09:41:30,image,True
nealmaurice,Conversation_58,2021-10-15 14:15:32,text,False
chamilton,Conversation_59,2021-07-21 02:00:53,attachment,True
chamilton,Conversation_59,2022-06-03 01:34:48,attachment,False
chamilton,Conversation_59,2022-05-08 01:06:09,text,True
qdawson,Conversation_59,2023-10-14 14:33:22,text,True
chamilton,Conversation_59,2022-01-16 12:52:03,image,False
qdawson,Conversation_59,2020-05-16 03:19:09,attachment,True
chamilton,Conversation_59,2021-10-06 11:51:25,attachment,True
moodyvalerie,Conversation_60,2022-08-03 13:31:41,image,True
brandonnichols,Conversation_60,2021-08-30 00:35:02,text,False
moodyvalerie,Conversation_60,2022-05-16 08:16:04,attachment,False
moodyvalerie,Conversation_60,2020-09-16 01:50:10,text,True
moodyvalerie,Conversation_60,2020-02-16 14:17:18,attachment,False
brandonnichols,Conversation_60,2021-08-14 06:46:08,text,False
shelby54,Conversation_61,2020-08-19 14:26:37,text,True
shelby54,Conversation_61,2021-07-22 13:48:58,text,False
meyersjanet,Conversation_61,2022-01-03 20:39:36,text,True
meyersjanet,Conversation_61,2021-05-04 06:10:13,text,True
meyersjanet,Conversation_61,2020-09-18 20:41:37,attachment,True
shelby54,Conversation_61,2021-04-22 05:28:12,text,True
meyersjanet,Conversation_61,2021-03-27 00:17:56,attachment,True
shelby54,Conversation_61,2023-07-01 08:42:25,attachment,True
meyersjanet,Conversation_61,2022-03-29 07:49:03,image,False
duranamber,Conversation_62,2022-06-14 12:11:41,attachment,True
butlerkyle,Conversation_62,2020-01-15 13:35:50,attachment,True
duranamber,Conversation_62,2020-03-26 05:47:36,attachment,False
duranamber,Conversation_62,2021-08-30 14:26:52,image,True
ehenry,Conversation_63,2021-04-10 09:25:59,text,True
petermcdowell,Conversation_63,2021-06-26 11:47:13,image,True
ehenry,Conversation_63,2023-02-02 03:25:33,text,False
petermcdowell,Conversation_63,2020-12-19 04:14:35,image,True
petermcdowell,Conversation_63,2020-10-12 16:30:13,image,False
petermcdowell,Conversation_63,2023-10-07 20:39:03,attachment,True
petermcdowell,Conversation_63,2022-01-13 00:31:33,text,True
petermcdowell,Conversation_63,2022-07-29 21:14:06,text,True
petermcdowell,Conversation_63,2020-08-04 22:10:09,attachment,True
michelle40,Conversation_64,2023-01-04 02:02:55,text,True
qmanning,Conversation_64,2024-03-21 17:59:00,attachment,False
michelle40,Conversation_64,2023-07-20 22:49:10,attachment,True
qmanning,Conversation_64,2020-10-06 22:17:06,image,False
michelle40,Conversation_64,2020-01-07 05:38:27,attachment,True
qmanning,Conversation_64,2020-08-26 08:11:24,image,True
michelle40,Conversation_64,2023-08-30 16:43:15,image,False
qmanning,Conversation_64,2020-11-22 12:36:51,text,True
michelle40,Conversation_64,2021-06-12 09:06:22,attachment,True
qmanning,Conversation_64,2022-01-06 17:54:26,text,False
jessicacline,Conversation_65,2023-12-19 00:38:35,attachment,False
danielpalmer,Conversation_65,2020-12-21 21:59:43,text,False
jessicacline,Conversation_65,2023-06-03 21:23:44,attachment,False
jessicacline,Conversation_65,2022-05-11 08:23:11,image,False
jessicacline,Conversation_65,2021-12-12 23:44:20,text,True
ikelly,Conversation_66,2022-02-27 13:23:00,attachment,True
jennifer05,Conversation_66,2022-02-09 20:47:48,text,False
christina10,Conversation_67,2023-06-12 12:24:38,attachment,True
aliciajuarez,Conversation_67,2021-01-07 05:11:23,attachment,True
aliciajuarez,Conversation_67,2023-08-09 10:05:51,text,True
christina10,Conversation_67,2020-06-12 03:56:59,text,True
aliciajuarez,Conversation_67,2023-03-01 19:17:26,text,False
aliciajuarez,Conversation_67,2022-01-04 23:34:29,image,True
lnixon,Conversation_68,2022-03-12 04:04:40,text,False
lnixon,Conversation_68,2024-01-01 12:00:09,attachment,True
davidjordan,Conversation_68,2023-09-13 00:59:03,image,False
trogers,Conversation_69,2023-02-01 02:06:14,text,False
erinedwards,Conversation_69,2020-07-20 08:45:54,attachment,False
trogers,Conversation_69,2023-09-11 10:21:29,text,True
trogers,Conversation_69,2023-10-19 07:22:38,attachment,False
erinedwards,Conversation_69,2020-07-28 13:25:03,attachment,True
trogers,Conversation_69,2023-03-16 09:46:20,image,False
waltersrachel,Conversation_70,2020-06-26 07:20:27,attachment,False
waltersrachel,Conversation_70,2021-06-08 13:56:43,image,True
aburns,Conversation_71,2021-05-29 04:45:58,attachment,True
aburns,Conversation_71,2024-01-09 05:57:25,attachment,False
hartregina,Conversation_72,2021-12-27 15:57:08,image,False
chelseaward,Conversation_72,2021-09-28 14:59:57,attachment,False
hartregina,Conversation_72,2020-11-05 15:41:18,image,False
scott60,Conversation_73,2020-04-26 15:25:15,image,True
scott60,Conversation_73,2022-04-18 14:51:24,image,False
scott60,Conversation_73,2023-07-20 09:26:05,attachment,False
geraldblack,Conversation_73,2021-04-30 13:25:29,attachment,False
geraldblack,Conversation_73,2023-06-14 15:52:02,text,True
geraldblack,Conversation_73,2021-01-30 18:07:54,attachment,False
scott60,Conversation_73,2022-06-22 05:07:47,text,True
scott60,Conversation_73,2023-04-21 04:48:25,attachment,False
bowmankimberly,Conversation_74,2023-07-16 06:18:05,image,False
brandonnichols,Conversation_74,2022-05-13 19:16:46,text,True
brandonnichols,Conversation_74,2022-04-05 15:50:09,image,True
bowmankimberly,Conversation_74,2020-09-25 21:13:31,text,True
brandonnichols,Conversation_74,2020-05-06 19:38:01,image,True
bowmankimberly,Conversation_74,2023-07-17 22:53:53,text,False
davidwilson,Conversation_75,2023-09-05 14:15:38,attachment,True
kevin00,Conversation_75,2021-05-06 18:47:47,attachment,False
davidwilson,Conversation_75,2022-12-03 02:46:02,text,False
kevin00,Conversation_75,2023-07-23 04:19:46,text,True
davidwilson,Conversation_75,2023-05-19 08:38:32,attachment,False
kevin00,Conversation_75,2023-04-01 15:12:17,text,False
cookrobert,Conversation_76,2022-06-24 06:02:44,image,True
hannahharrell,Conversation_76,2021-09-29 01:32:43,attachment,False
cookrobert,Conversation_76,2023-07-01 09:20:46,attachment,True
